StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
16,065,"Madison County, ID",20565,20083,482
16,067,"Minidoka County, ID",10871,10535,336
16,069,"Nez Perce County, ID",20861,20198,663
16,071,"Oneida County, ID",2200,2123,77
16,073,"Owyhee County, ID",5276,5042,234
16,075,"Payette County, ID",11247,10742,505
16,077,"Power County, ID",3927,3772,155
16,079,"Shoshone County, ID",5108,4757,351
16,081,"Teton County, ID",5980,5793,187
16,083,"Twin Falls County, ID",39555,38249,1306
16,085,"Valley County, ID",4959,4701,258
16,087,"Washington County, ID",4595,4350,245
17,001,"Adams County, IL",32621,31068,1553
17,003,"Alexander County, IL",2215,2008,207
17,005,"Bond County, IL",7911,7506,405
17,007,"Boone County, IL",26437,24753,1684
17,009,"Brown County, IL",2868,2771,97
17,011,"Bureau County, IL",17450,16393,1057
17,013,"Calhoun County, IL",2383,2237,146
17,015,"Carroll County, IL",7900,7452,448
17,017,"Cass County, IL",6239,5890,349
17,019,"Champaign County, IL",107858,102462,5396
17,021,"Christian County, IL",15355,14373,982
17,023,"Clark County, IL",8197,7720,477
